weekday,weekday_num,rides,,,,,,,,,,,,,,,,,
Sunday,1,0,,"'sunday': 0,",,,,,,,,,,,,,,,
Monday,2,12,,"'monday': 12,",,,,,,,,,,,,,,,
Tuesday,3,19,,"'tuesday': 19,",,,,,,,,,,,,,,,
Wednesday,4,25,,"'wednesday': 25,",,,,,,,,,,,,,,,
Thursday,5,8,,"'thursday': 8,",,,,,,,,,,,,,,,
Friday,6,0,,"'friday': 0,",,,,,,,,,,,,,,,
Saturday,7,0,,"'saturday': 0,",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PDT,EAT,rides,,,1,2,3,4,5,6,7,,,,,,,,
1:00 AM,11,2,,"'11': 2,",0,1,0,1,0,0,0,,"{'x':1,'y':11,'z':0},","{'x':2,'y':11,'z':1},","{'x':3,'y':11,'z':0},","{'x':4,'y':11,'z':1},","{'x':5,'y':11,'z':0},","{'x':6,'y':11,'z':0},","{'x':7,'y':11,'z':0},"
2:00 AM,12,0,,"'12': 0,",0,0,0,0,0,0,0,,"{'x':1,'y':12,'z':0},","{'x':2,'y':12,'z':0},","{'x':3,'y':12,'z':0},","{'x':4,'y':12,'z':0},","{'x':5,'y':12,'z':0},","{'x':6,'y':12,'z':0},","{'x':7,'y':12,'z':0},"
3:00 AM,13,1,,"'13': 1,",0,0,0,1,0,0,0,,"{'x':1,'y':13,'z':0},","{'x':2,'y':13,'z':0},","{'x':3,'y':13,'z':0},","{'x':4,'y':13,'z':1},","{'x':5,'y':13,'z':0},","{'x':6,'y':13,'z':0},","{'x':7,'y':13,'z':0},"
4:00 AM,14,1,,"'14': 1,",0,0,0,1,0,0,0,,"{'x':1,'y':14,'z':0},","{'x':2,'y':14,'z':0},","{'x':3,'y':14,'z':0},","{'x':4,'y':14,'z':1},","{'x':5,'y':14,'z':0},","{'x':6,'y':14,'z':0},","{'x':7,'y':14,'z':0},"
5:00 AM,15,2,,"'15': 2,",0,0,2,0,0,0,0,,"{'x':1,'y':15,'z':0},","{'x':2,'y':15,'z':0},","{'x':3,'y':15,'z':2},","{'x':4,'y':15,'z':0},","{'x':5,'y':15,'z':0},","{'x':6,'y':15,'z':0},","{'x':7,'y':15,'z':0},"
6:00 AM,16,4,,"'16': 4,",0,2,0,1,1,0,0,,"{'x':1,'y':16,'z':0},","{'x':2,'y':16,'z':2},","{'x':3,'y':16,'z':0},","{'x':4,'y':16,'z':1},","{'x':5,'y':16,'z':1},","{'x':6,'y':16,'z':0},","{'x':7,'y':16,'z':0},"
7:00 AM,17,17,,"'17': 17,",0,2,7,7,1,0,0,,"{'x':1,'y':17,'z':0},","{'x':2,'y':17,'z':2},","{'x':3,'y':17,'z':7},","{'x':4,'y':17,'z':7},","{'x':5,'y':17,'z':1},","{'x':6,'y':17,'z':0},","{'x':7,'y':17,'z':0},"
8:00 AM,18,8,,"'18': 8,",0,0,2,4,2,0,0,,"{'x':1,'y':18,'z':0},","{'x':2,'y':18,'z':0},","{'x':3,'y':18,'z':2},","{'x':4,'y':18,'z':4},","{'x':5,'y':18,'z':2},","{'x':6,'y':18,'z':0},","{'x':7,'y':18,'z':0},"
9:00 AM,19,2,,"'19': 2,",0,0,2,0,0,0,0,,"{'x':1,'y':19,'z':0},","{'x':2,'y':19,'z':0},","{'x':3,'y':19,'z':2},","{'x':4,'y':19,'z':0},","{'x':5,'y':19,'z':0},","{'x':6,'y':19,'z':0},","{'x':7,'y':19,'z':0},"
10:00 AM,20,1,,"'20': 1,",0,0,0,1,0,0,0,,"{'x':1,'y':20,'z':0},","{'x':2,'y':20,'z':0},","{'x':3,'y':20,'z':0},","{'x':4,'y':20,'z':1},","{'x':5,'y':20,'z':0},","{'x':6,'y':20,'z':0},","{'x':7,'y':20,'z':0},"
11:00 AM,21,0,,"'21': 0,",0,0,0,0,0,0,0,,"{'x':1,'y':21,'z':0},","{'x':2,'y':21,'z':0},","{'x':3,'y':21,'z':0},","{'x':4,'y':21,'z':0},","{'x':5,'y':21,'z':0},","{'x':6,'y':21,'z':0},","{'x':7,'y':21,'z':0},"
